FIPS Code,state/area,year,Civilian non-institutional population,CLF-Total,CLF-Pecent of population,Employment-Total,Employment-Percent of population,Unemployment-Total,Unemployment-Rate
01,Alabama,1976,"2,632,667   ","1,500,615   ",57.0   ,"1,399,921   ",53.2   ,"100,694   ",6.7   
02,Alaska,1976,"239,917   ","164,450   ",68.5   ,"151,844   ",63.3   ,"12,606   ",7.7   
04,Arizona,1976,"1,650,917   ","981,641   ",59.5   ,"885,169   ",53.6   ,"96,472   ",9.8   
05,Arkansas,1976,"1,546,583   ","893,849   ",57.8   ,"832,100   ",53.8   ,"61,749   ",6.9   
06,California,1976,"15,823,750   ","9,892,525   ",62.5   ,"8,982,727   ",56.8   ,"909,798   ",9.2   
037,Los Angeles County,1976,"5,320,083   ","3,390,927   ",63.7   ,"3,089,800   ",58.1   ,"301,127   ",8.9   
08,Colorado,1976,"1,858,250   ","1,241,861   ",66.8   ,"1,167,716   ",62.8   ,"74,145   ",6.0   
09,Connecticut,1976,"2,260,083   ","1,451,846   ",64.2   ,"1,318,663   ",58.3   ,"133,183   ",9.2   
10,Delaware,1976,"420,667   ","263,764   ",62.7   ,"240,906   ",57.3   ,"22,858   ",8.7   
11,District of Columbia,1976,"517,250   ","332,022   ",64.2   ,"303,139   ",58.6   ,"28,883   ",8.7   
12,Florida,1976,"6,509,000   ","3,598,839   ",55.3   ,"3,264,416   ",50.2   ,"334,423   ",9.3   
13,Georgia,1976,"3,557,750   ","2,270,404   ",63.8   ,"2,085,187   ",58.6   ,"185,217   ",8.2   
15,Hawaii,1976,"591,833   ","409,851   ",69.3   ,"372,252   ",62.9   ,"37,599   ",9.2   
16,Idaho,1976,"589,333   ","372,484   ",63.2   ,"351,593   ",59.7   ,"20,891   ",5.6   
17,Illinois,1976,"8,177,500   ","5,147,046   ",62.9   ,"4,810,302   ",58.8   ,"336,744   ",6.5   
18,Indiana,1976,"3,812,500   ","2,438,409   ",64.0   ,"2,290,238   ",60.1   ,"148,171   ",6.1   
19,Iowa,1976,"2,081,583   ","1,338,535   ",64.3   ,"1,282,842   ",61.6   ,"55,693   ",4.2   
20,Kansas,1976,"1,647,583   ","1,077,340   ",65.4   ,"1,032,679   ",62.7   ,"44,661   ",4.1   
21,Kentucky,1976,"2,486,500   ","1,493,465   ",60.1   ,"1,412,199   ",56.8   ,"81,266   ",5.4   
22,Louisiana,1976,"2,707,250   ","1,532,221   ",56.6   ,"1,430,872   ",52.9   ,"101,349   ",6.6   
23,Maine,1976,"772,833   ","476,111   ",61.6   ,"434,945   ",56.3   ,"41,166   ",8.6   
24,Maryland,1976,"2,977,417   ","1,912,208   ",64.2   ,"1,785,342   ",60.0   ,"126,866   ",6.6   
25,Massachusetts,1976,"4,212,167   ","2,727,705   ",64.8   ,"2,460,609   ",58.4   ,"267,096   ",9.8   
